seed,detector,variant,view,rewrite,n_harm,recall,miss_mean_p,conf_miss,fpr,recall_swap_storm,recall_early_measure,auc,ece,dj_fpr
0,ngram_lr,clean,raw,none,89,0.7640449438202247,0.4052548590443187,0.0,0.0,nan,0.7640449438202247,0.9912477823772916,0.16552758172158522,0.0
0,ngram_lr,clean,raw,swap_to_3cx,182,0.3131868131868132,0.15615084436540533,0.31868131868131866,0.0,0.0,0.6404494382022472,,,
0,ngram_lr,clean,raw,identity_pad,90,0.6222222222222222,0.3694715824542333,0.0,0.010526315789473684,nan,0.6222222222222222,,,
0,ngram_lr,clean,raw,cx_pad,89,0.651685393258427,0.36302258624323397,0.0,0.021052631578947368,nan,0.651685393258427,,,
0,ngram_lr,clean,raw,decompose,183,0.3333333333333333,0.2689956421088413,0.08196721311475409,0.1368421052631579,0.0,0.6853932584269663,,,
0,ngram_lr,clean,raw,relabel,89,0.7640449438202247,0.4052548590443187,0.0,0.0,nan,0.7640449438202247,,,
0,ngram_lr,clean,raw,combined,182,0.1813186813186813,0.2833818408192316,0.0,0.0,0.0,0.3707865168539326,,,
0,ngram_lr,aug_loro,raw,swap_to_3cx,182,0.5714285714285714,0.2585733647547307,0.07142857142857142,0.0,0.3548387096774194,0.797752808988764,,,
0,ngram_lr,aug_loro,raw,identity_pad,90,0.4111111111111111,0.23365206847152967,0.12222222222222222,0.0,nan,0.4111111111111111,,,
0,ngram_lr,aug_loro,raw,cx_pad,89,1.0,nan,0.0,0.5578947368421052,nan,1.0,,,
0,ngram_lr,aug_loro,raw,decompose,183,0.8032786885245902,0.32234452785741724,0.01092896174863388,0.15789473684210525,0.8404255319148937,0.7640449438202247,,,
0,ngram_lr,aug_loro,raw,relabel,89,0.8651685393258427,0.3286391639155655,0.0,0.0,nan,0.8651685393258427,,,
0,ngram_lr,aug_loro,raw,combined,182,0.4230769230769231,0.3602686855716433,0.0,0.042105263157894736,0.10752688172043011,0.7528089887640449,,,
0,cnn,clean,raw,none,89,1.0,nan,0.0,0.0,nan,1.0,0.9999999999999999,0.02051828686228913,0.0
0,cnn,clean,raw,swap_to_3cx,182,0.489010989010989,0.005874126683920622,0.510989010989011,0.0,0.0,1.0,,,
0,cnn,clean,raw,identity_pad,90,0.9888888888888889,0.4734571576118469,0.0,0.021052631578947368,nan,0.9888888888888889,,,
0,cnn,clean,raw,cx_pad,89,0.9662921348314607,0.22185944020748138,0.011235955056179775,0.031578947368421054,nan,0.9662921348314607,,,
0,cnn,clean,raw,decompose,183,0.4972677595628415,0.047123249620199203,0.4371584699453552,0.07368421052631578,0.02127659574468085,1.0,,,
0,cnn,clean,raw,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,cnn,clean,raw,combined,182,0.44505494505494503,0.02807822823524475,0.5164835164835165,0.0,0.0,0.9101123595505618,,,
0,feat_gb,clean,raw,none,89,1.0,nan,0.0,0.0,nan,1.0,1.0,0.000725621626333461,0.0
0,feat_gb,clean,raw,swap_to_3cx,182,0.489010989010989,9.669026587708799e-05,0.510989010989011,0.0,0.0,1.0,,,
0,feat_gb,clean,raw,identity_pad,90,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,clean,raw,cx_pad,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,clean,raw,decompose,183,0.48633879781420764,0.00011298240808987034,0.5136612021857924,0.0,0.0,1.0,,,
0,feat_gb,clean,raw,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,clean,raw,combined,182,0.489010989010989,0.00023538647026322753,0.510989010989011,0.0,0.0,1.0,,,
0,feat_gb,aug_loro,raw,swap_to_3cx,182,0.9725274725274725,0.2836316182368401,0.0,0.0,0.946236559139785,1.0,,,
0,feat_gb,aug_loro,raw,identity_pad,90,1.0,nan,0.0,0.031578947368421054,nan,1.0,,,
0,feat_gb,aug_loro,raw,cx_pad,89,1.0,nan,0.0,0.2736842105263158,nan,1.0,,,
0,feat_gb,aug_loro,raw,decompose,183,0.994535519125683,0.4634133765032523,0.0,0.08421052631578947,0.9893617021276596,1.0,,,
0,feat_gb,aug_loro,raw,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,aug_loro,raw,combined,182,0.489010989010989,0.012345948371998228,0.510989010989011,0.0,0.0,1.0,,,
0,ngram_lr,clean,L1,none,184,0.9728260869565217,0.3338297592763828,0.0,0.010526315789473684,1.0,0.9438202247191011,0.9965102974828376,0.11181877094354445,0.0
0,ngram_lr,clean,L1,swap_to_3cx,184,0.9728260869565217,0.3338297592763828,0.0,0.010526315789473684,1.0,0.9438202247191011,,,
0,ngram_lr,clean,L1,identity_pad,184,0.9728260869565217,0.3338297592763828,0.0,0.010526315789473684,1.0,0.9438202247191011,,,
0,ngram_lr,clean,L1,cx_pad,184,0.9728260869565217,0.3338297592763828,0.0,0.010526315789473684,1.0,0.9438202247191011,,,
0,ngram_lr,clean,L1,decompose,184,0.9728260869565217,0.3338297592763828,0.0,0.010526315789473684,1.0,0.9438202247191011,,,
0,ngram_lr,clean,L1,relabel,184,0.9184782608695652,0.3309072249130133,0.005434782608695652,0.031578947368421054,0.9368421052631579,0.898876404494382,,,
0,ngram_lr,clean,L1,combined,184,0.9184782608695652,0.3309072249130133,0.005434782608695652,0.031578947368421054,0.9368421052631579,0.898876404494382,,,
